title,companyName,location,skillsNeeded,category,description,createdAt,id
Digital Marketing,ITSBHM Group,Ludhiana,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,127
Subject Matter Expert (Advance Mathematics),Innovalance Learning Systems,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Subject Matter Expert (Advance Mathematics), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,128
Human Resources (HR),Avaari,Work From Home,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,129
Strategic Leading,Ulead,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Strategic Leading, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,130
Social Media Marketing,Dangayach School Of Hotel Management,Jaipur,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,131
Fashion Design And Merchandising,Masumi Mewawalla,Mumbai,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,132
Marketing & PR,Neogrowth Credit Private Limited,Mumbai,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,133
Coding And Robotics,Amazeheads LLP,Mumbai,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Coding And Robotics, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,134
Social Media Marketing,Ramp Asia,Delhi,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,135
Webinar Operations & Strategy,Simplilearn Solutions Private Limited,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Webinar Operations & Strategy, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,136
Online Malayalam CBSE Science Tutoring,Narigiri's Connect To Universe Private Limited,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Online Malayalam CBSE Science Tutoring, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,137
Product Marketing,Corizo Edu-Tech,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,138
Content Writing,Zit Media,Work From Home,"['Content Writing', 'SEO', 'Research', 'Editing', 'Creativity']",General,"Research topics, write high-quality content, and optimize for SEO to increase engagement.",2025-09-25 09:35:43.803191,139
Operations And Category,Yocket,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Operations And Category, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,140
Business Development (Sales),Callahan Diseno,Work From Home,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,141
Market Research,Mindpe,Chandigarh,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Market Research, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,142
Social Media Marketing,Amazon Park Nursery,Indore,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,143
Graphic Design,Cosmofeed,Gurgaon,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,144
UX/UI Design,ForAll A-Tech,Bhopal,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,145
Business Development,Time:Code,Gurgaon,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,146
Lead Generaion,Top Talent Bridge,Work From Home,"['Machine Learning', 'Deep Learning', 'Python', 'TensorFlow', 'Data Analysis']",General,"Work on machine learning models, AI applications, and contribute to intelligent automation solutions.",2025-09-25 09:35:43.803191,147
Content Creation,To Be Honest Circle,Work From Home,"['Content Writing', 'SEO', 'Research', 'Editing', 'Creativity']",General,"Research topics, write high-quality content, and optimize for SEO to increase engagement.",2025-09-25 09:35:43.803191,148
Media & Public Relations (PR),India People Blog,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Media & Public Relations (PR), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,149
Market Research,Agile Parking Solutions Private Limited,Jabalpur,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Market Research, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,150
College Question Solving (Remote),"HIGGZ ACADEMIA TECHNOLOGY PTE. LTD. (Singapore, Singapore)",Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a College Question Solving (Remote), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,151
Audio Making/Editing,Anurag Aggarwal,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Audio Making/Editing, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,152
Business Development Executive (Carbon Markets),Triumph Sustainability Private Limited,Indore,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,153
Legal,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Mumbai,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Legal, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,154
Human Resources (HR),Aspire Consultancy Services,Mumbai,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,155
Private Equity & Venture Capital,HDFC Capital Advisors Limited,Mumbai,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,156
Human Resources (HR),Firststore.io,Work From Home,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,157
Social Media Marketing,Hey Buddy,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,158
Social Media Marketing,Ignitic Ideas Private Limited,Thane,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,159
SEO,LyfSmile,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a SEO, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,160
Video Making/Editing,Stax Media,Delhi,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Video Making/Editing, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,161
Delegate Registration And Coordination,Brand Torque,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Delegate Registration And Coordination, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,162
Subject Matter Expert (Physics/Advanced Physics),HaZZten,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Subject Matter Expert (Physics/Advanced Physics), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,163
Telecalling,Qriocity Ventures Private Limited,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Telecalling, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,164
Web Development,Ecompsys India Private Limited,Vijayawada,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,165
Subject Matter Expert (Inorganic Chemistry),Himanshi Sharma,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Subject Matter Expert (Inorganic Chemistry), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,166
Business Development (Sales),Yorteks,Work From Home,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,167
Content Calendar Designing,Ozibook Tech Solutions Private Limited,Work From Home,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,168
Social Media Marketing,Naest Tutors,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,169
Product Management,NightOwl,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Product Management, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,170
Supply Chain Management (SCM),Pereyan LLP,Bangalore,"['Machine Learning', 'Deep Learning', 'Python', 'TensorFlow', 'Data Analysis']",General,"Work on machine learning models, AI applications, and contribute to intelligent automation solutions.",2025-09-25 09:35:43.803191,171
Algo Trading,S Attri,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Algo Trading, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,172
Project Executive,Green Stapler,Mumbai,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Project Executive, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,173
Social (Fundraising),Muskurahat Foundation,Work From Home,"['Machine Learning', 'Deep Learning', 'Python', 'TensorFlow', 'Data Analysis']",General,"Work on machine learning models, AI applications, and contribute to intelligent automation solutions.",2025-09-25 09:35:43.803191,174
B2B Marketplace,MentorG,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a B2B Marketplace, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,175
Social Media Marketing,The Antique Treasure,Lucknow,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,176
Business Development (Sales),OnlineInfatuation,Delhi,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,177
Event Management,Peppermint Communications Private Limited,Ulhasnagar,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Event Management, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,178
Human Resources (HR),Energy Alternatives India,Chennai,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,179
Graphic Design,Masti Matic,Work From Home,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,180
Full Stack Development,Upskillz,Jaipur,"['HTML', 'CSS', 'JavaScript', 'React', 'Node.js', 'Databases']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,181
Human Resources (HR) - Talent Acquisition,Talent500,Hyderabad,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,182
Marketing,Shreeyash Associates,Pune,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,183
Growth Marketing,Ulead,Work From Home,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,184
Product Design,Keshavah Commotrade Pvt Ltd,Kolkata,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,185
Human Resources (HR),IMARC,Noida,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,186
Fundraising,Pawzz,Work From Home,"['Machine Learning', 'Deep Learning', 'Python', 'TensorFlow', 'Data Analysis']",General,"Work on machine learning models, AI applications, and contribute to intelligent automation solutions.",2025-09-25 09:35:43.803191,187
Human Resources (HR),Ostello India Private Limited,Work From Home,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,188
Business Development (Sales),Invicta Media Pvt Ltd,Delhi,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,189
Business Development (Sales),Tranzmeo IT Solutions Private Limited,Kakkanad,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,190
UI/UX Design,RandomStrangerChats,Work From Home,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,191
Graphic Design,SHRIDE INDIA PRIVATE LIMITED,Work From Home,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,192
QA Testing,Picostone,Mumbai,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a QA Testing, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,193
Video Creation (Female),Rupeya.app,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Video Creation (Female), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,194
Digital Marketing,Aavedan Consultants,Jaipur,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,195
Marketing And Sales,Globizon,Delhi,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,196
Motion Graphics,Your Marketing Mascot,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Motion Graphics, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,197
Market Research,Nitin Mathur,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Market Research, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,198
Business Development (Sales),Habi,Bangalore,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,199
Video Making/Editing,Aam Aadmi Party,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Video Making/Editing, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,200
Business Development (Sales),Credent Infotech,Delhi,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,201
Talent Acquisition,Build Your English,Work From Home,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,202
Building Information Modelling,AECONS INFOTECH PVT LTD,Dehradun,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,203
HR,Prasuma,Manesar,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,204
Business Development (Sales),Agnihotri Securities Ltd,Work From Home,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,205
Software Development,Low Code Systems Software Private Limited,Pune,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,206
Event Management,Shubh International,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Event Management, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,207
Launch Management,Cultfit Healthcare Private Limited,Hyderabad,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Launch Management, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,208
Social Media Marketing,Onweb Nilesh,Thane,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,209
Social Psycohology,HappiMynd,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Social Psycohology, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,210
Standup Comedy Club Event Management,Gurgaon Comedy Club,Gurgaon,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Standup Comedy Club Event Management, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,211
Content Writing,Star Watch Technologies,Chennai,"['Content Writing', 'SEO', 'Research', 'Editing', 'Creativity']",General,"Research topics, write high-quality content, and optimize for SEO to increase engagement.",2025-09-25 09:35:43.803191,212
Office Coordination,Shaildhar Telecom,Guwahati,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Office Coordination, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,213
Business Development,Relinns Technologies,Mohali,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,214
HR - BD,Margdarshak Kendra,Delhi,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,215
Motion Graphic Design,Qtopia,Work From Home,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,216
Sales And Business Development,Travokarma,Work From Home,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,217
Flutter Development,Support - Lets Talk,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,218
Sales Support,Stirring Minds,Delhi,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Engage in client interactions, generate leads, and assist in business growth through effective communication.",2025-09-25 09:35:43.803191,219
Visual Merchandising,SuperTails,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Visual Merchandising, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,220
Talent Acquisition And HR,EGovernments Foundation,Bangalore,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,221
Human Resources (HR),Companify India Private Limited,Delhi,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,222
Video Post-Production,Pereyan LLP,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Video Post-Production, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,223
Online Business & Portal Development,Energy Alternatives India,Chennai,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,224
Graphic Design,Expedify,Work From Home,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,225
Social Media Management,Karmanya Gurutvam,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Social Media Management, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,226
Content Writing,Bennett Technologies Private Limited,Work From Home,"['Content Writing', 'SEO', 'Research', 'Editing', 'Creativity']",General,"Research topics, write high-quality content, and optimize for SEO to increase engagement.",2025-09-25 09:35:43.803191,227
Graphic Design,Set Up Digital,Work From Home,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,228
Recruitment,Webkorps Services India Pvt. LTD,Indore,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,229
Business Development (Sales),UpGrad (UpGrad Education Private Limited),Nagpur,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,230
Customer Delight,ElectricPe,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Customer Delight, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,231
Human Resources (HR),Braindezvous Infotech Private Limited,Noida,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,232
Business Development (Sales),Apstia LLP,Jaipur,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,233
Recruitment,Shubham Varshney,Meerut,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,234
Business Development (Sales),The Prodigious People,Mumbai,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,235
Digital Media,Stirring Minds,Delhi,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Digital Media, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,236
Social Media Marketing,Qyuki Digital Media Private Limited,Mumbai,"['Digital Marketing', 'SEO', 'Social Media', 'Content Creation', 'Communication']",Marketing,"Work on digital campaigns, SEO optimization, and managing social media strategies to grow brand presence.",2025-09-25 09:35:43.803191,237
VR Development,Perceived Design,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,238
Search Engine Optimization (SEO),INDMoney,Gurgaon,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Search Engine Optimization (SEO), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,239
Pre-Sales Operations,Vananam Rewards Private Limited,Bangalore,"['Communication', 'Negotiation', 'CRM Tools', 'Lead Generation']",Marketing,"Engage in client interactions, generate leads, and assist in business growth through effective communication.",2025-09-25 09:35:43.803191,240
AI Procurement Chatbot Based On Bubble.io And Open AI,"Graynomics (Houston, United States)",Work From Home,"['Machine Learning', 'Deep Learning', 'Python', 'TensorFlow', 'Data Analysis']",General,"Work on machine learning models, AI applications, and contribute to intelligent automation solutions.",2025-09-25 09:35:43.803191,241
Content Development (Mathematics & Science),Saraswati Vidyamandir,Work From Home,"['Content Writing', 'SEO', 'Research', 'Editing', 'Creativity']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,242
Graphic Design,Anomalous,Mumbai,"['UI/UX Design', 'Figma', 'Adobe XD', 'Creativity', 'Prototyping']",General,"Create user-friendly designs, wireframes, and prototypes, and ensure engaging user experiences.",2025-09-25 09:35:43.803191,243
Search Engine Optimization (SEO),Zeppstr,Bangalore,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Search Engine Optimization (SEO), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,244
Video Editing,Waveform Labs,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Video Editing, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,245
Human Resources (HR),CloudBird Digital Private Limited,Noida,"['Recruitment', 'Communication', 'HR Tools', 'Onboarding']",General,"Support recruitment, employee engagement, and onboarding processes for smooth HR operations.",2025-09-25 09:35:43.803191,246
Search Engine Optimization (SEO),Salahuddin Ayyubi,Work From Home,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Search Engine Optimization (SEO), applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,247
Full Stack Development,Emoolar Technology Private Limited,Work From Home,"['HTML', 'CSS', 'JavaScript', 'React', 'Node.js', 'Databases']",General,"Contribute to software development projects, write clean code, and collaborate with teams to build scalable applications.",2025-09-25 09:35:43.803191,248
Content Strategist,UpGrad,Bangalore,"['Content Writing', 'SEO', 'Research', 'Editing', 'Creativity']",General,"Research topics, write high-quality content, and optimize for SEO to increase engagement.",2025-09-25 09:35:43.803191,249
Content Writing(Tennis),DR Sports Management LLP,Work From Home,"['Content Writing', 'SEO', 'Research', 'Editing', 'Creativity']",General,"Research topics, write high-quality content, and optimize for SEO to increase engagement.",2025-09-25 09:35:43.803191,250
Administration And Operations,ASMI Not-For-Profit,Gurgaon,"['Communication', 'Teamwork', 'Problem Solving']",General,"Contribute effectively as a Administration And Operations, applying relevant skills to achieve project goals.",2025-09-25 09:35:43.803191,251
